	row number	reason	data
17	22	Invalid end date	{'account_no': 22, 'customer_number': 6458, 'age_group': '40-44', 'state': 'SA', 'postcode': 5558.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/9/21', 'cool_off': '28/9/21', 'billing_start': '29/9/21', 'billing_end': nan}
18	23	Invalid end date	{'account_no': 23, 'customer_number': 5471, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3000.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '23/9/21', 'cool_off': nan, 'billing_start': '8/10/21', 'billing_end': nan}
19	24	Invalid end date	{'account_no': 24, 'customer_number': 14358, 'age_group': '35-39', 'state': 'NSW', 'postcode': 2287.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '27/8/20', 'cool_off': nan, 'billing_start': '1/9/20', 'billing_end': nan}
20	25	Invalid end date	{'account_no': 25, 'customer_number': 17881, 'age_group': '55-59', 'state': 'NSW', 'postcode': 2063.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '14/9/20', 'cool_off': '28/9/20', 'billing_start': '29/9/20', 'billing_end': nan}
21	26	Invalid end date	{'account_no': 26, 'customer_number': 3417, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3149.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '4/2/21', 'cool_off': nan, 'billing_start': '17/2/21', 'billing_end': nan}
22	27	Invalid end date	{'account_no': 27, 'customer_number': 2287, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3205.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '24/5/20', 'cool_off': '5/6/20', 'billing_start': '8/6/20', 'billing_end': nan}
23	28	Invalid end date	{'account_no': 28, 'customer_number': 1629, 'age_group': '25-29', 'state': 'NSW', 'postcode': 2161.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '1/6/21', 'cool_off': nan, 'billing_start': '3/6/21', 'billing_end': nan}
24	30	Invalid start date	{'account_no': 30, 'customer_number': 17627, 'age_group': '35-39', 'state': 'NSW', 'postcode': 2765.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '18/6/21', 'cool_off': '2/7/21', 'billing_start': nan, 'billing_end': '22/6/21'}
25	33	Invalid end date	{'account_no': 33, 'customer_number': 925, 'age_group': '45-49', 'state': 'SA', 'postcode': 5092.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '29/10/20', 'cool_off': '13/11/20', 'billing_start': '14/11/20', 'billing_end': nan}
26	34	Invalid end date	{'account_no': 34, 'customer_number': 2651, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3850.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '10/12/20', 'cool_off': '24/12/20', 'billing_start': '25/12/20', 'billing_end': nan}
27	35	Invalid end date	{'account_no': 35, 'customer_number': 1011, 'age_group': '60-64', 'state': 'VIC', 'postcode': 3223.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '10/6/20', 'cool_off': '24/6/20', 'billing_start': '24/6/20', 'billing_end': nan}
28	36	Invalid end date	{'account_no': 36, 'customer_number': 492, 'age_group': '>69', 'state': 'VIC', 'postcode': 3714.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/8/21', 'cool_off': '30/8/21', 'billing_start': '31/8/21', 'billing_end': nan}
29	38	Invalid end date	{'account_no': 38, 'customer_number': 1093, 'age_group': '40-44', 'state': 'NSW', 'postcode': 2141.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '22/10/20', 'cool_off': '5/11/20', 'billing_start': '9/11/20', 'billing_end': nan}
30	39	Invalid end date	{'account_no': 39, 'customer_number': 5829, 'age_group': '>69', 'state': 'NSW', 'postcode': 2256.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '20/10/20', 'cool_off': nan, 'billing_start': '29/10/20', 'billing_end': nan}
31	40	Invalid end date	{'account_no': 40, 'customer_number': 536, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3070.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '22/6/21', 'cool_off': nan, 'billing_start': '19/7/21', 'billing_end': nan}
32	41	Invalid start date	{'account_no': 41, 'customer_number': 13813, 'age_group': '45-49', 'state': 'QLD', 'postcode': 4017.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '30/9/20', 'cool_off': '15/10/20', 'billing_start': nan, 'billing_end': '22/10/20'}
33	43	Invalid end date	{'account_no': 43, 'customer_number': 2313, 'age_group': '25-29', 'state': 'NSW', 'postcode': 2107.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/5/21', 'cool_off': nan, 'billing_start': '20/5/21', 'billing_end': nan}
34	44	Invalid end date	{'account_no': 44, 'customer_number': 13525, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3160.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/12/20', 'cool_off': '30/12/20', 'billing_start': '30/12/20', 'billing_end': nan}
35	46	Invalid end date	{'account_no': 46, 'customer_number': 16058, 'age_group': '40-44', 'state': 'NSW', 'postcode': 2119.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '27/7/21', 'cool_off': '10/8/21', 'billing_start': '11/8/21', 'billing_end': nan}
36	47	Invalid end date	{'account_no': 47, 'customer_number': 7114, 'age_group': '30-34', 'state': 'QLD', 'postcode': 4209.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '21/6/20', 'cool_off': '3/7/20', 'billing_start': '6/7/20', 'billing_end': nan}
37	48	Invalid end date	{'account_no': 48, 'customer_number': 3380, 'age_group': '40-44', 'state': 'NSW', 'postcode': 2280.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '9/9/20', 'cool_off': '23/9/20', 'billing_start': '24/9/20', 'billing_end': nan}
38	51	Invalid end date	{'account_no': 51, 'customer_number': 9383, 'age_group': '40-44', 'state': 'NSW', 'postcode': 2217.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '15/12/20', 'cool_off': nan, 'billing_start': '3/9/20', 'billing_end': nan}
39	52	Invalid end date	{'account_no': 52, 'customer_number': 13907, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3995.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '20/12/20', 'cool_off': '6/1/21', 'billing_start': '5/1/21', 'billing_end': nan}
40	53	Invalid end date	{'account_no': 53, 'customer_number': 7890, 'age_group': '55-59', 'state': 'VIC', 'postcode': 3226.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '22/7/20', 'cool_off': nan, 'billing_start': '24/7/20', 'billing_end': nan}
41	54	Invalid end date	{'account_no': 54, 'customer_number': 12985, 'age_group': '50-54', 'state': 'NSW', 'postcode': 2300.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Interval', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '29/4/21', 'cool_off': '13/5/21', 'billing_start': '14/5/21', 'billing_end': nan}
42	55	Invalid end date	{'account_no': 55, 'customer_number': 16557, 'age_group': '55-59', 'state': 'VIC', 'postcode': 3027.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '12/2/21', 'cool_off': '26/2/21', 'billing_start': '26/2/21', 'billing_end': nan}
43	56	Invalid end date	{'account_no': 56, 'customer_number': 14937, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3031.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '2/11/20', 'cool_off': '17/11/20', 'billing_start': '17/11/20', 'billing_end': nan}
44	57	Invalid end date	{'account_no': 57, 'customer_number': 3565, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3029.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '31/8/21', 'cool_off': '14/9/21', 'billing_start': '16/9/21', 'billing_end': nan}
45	58	Invalid end date	{'account_no': 58, 'customer_number': 6553, 'age_group': '30-34', 'state': 'SA', 'postcode': 5075.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/8/20', 'cool_off': '31/8/20', 'billing_start': '1/9/20', 'billing_end': nan}
46	59	Invalid end date	{'account_no': 59, 'customer_number': 13624, 'age_group': '25-29', 'state': 'NSW', 'postcode': 2010.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '20/7/20', 'cool_off': '3/8/20', 'billing_start': '4/8/20', 'billing_end': nan}
47	60	Invalid end date	{'account_no': 60, 'customer_number': 2709, 'age_group': '50-54', 'state': 'SA', 'postcode': 5162.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '13/8/20', 'cool_off': '27/8/20', 'billing_start': '28/8/20', 'billing_end': nan}
48	61	Invalid end date	{'account_no': 61, 'customer_number': 3518, 'age_group': '25-29', 'state': 'VIC', 'postcode': 3796.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '30/4/21', 'cool_off': nan, 'billing_start': '3/5/21', 'billing_end': nan}
49	63	Invalid end date	{'account_no': 63, 'customer_number': 5303, 'age_group': '25-29', 'state': 'VIC', 'postcode': 3181.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Closed', 'green_power': 0, 'sale_date': '2/2/20', 'cool_off': '14/2/20', 'billing_start': '30/3/20', 'billing_end': nan}
50	64	Invalid start date&Invalid end date	{'account_no': 64, 'customer_number': 8812, 'age_group': '45-49', 'state': 'SA', 'postcode': 5158.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '8/9/20', 'cool_off': '22/9/20', 'billing_start': nan, 'billing_end': nan}
51	66	Invalid end date	{'account_no': 66, 'customer_number': 5305, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3130.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '4/3/21', 'cool_off': '19/3/21', 'billing_start': '18/3/21', 'billing_end': nan}
52	67	Invalid end date	{'account_no': 67, 'customer_number': 12895, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3363.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '9/1/21', 'cool_off': '22/1/21', 'billing_start': '22/1/21', 'billing_end': nan}
53	69	Invalid end date	{'account_no': 69, 'customer_number': 14979, 'age_group': '55-59', 'state': 'NSW', 'postcode': 2037.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '2/2/20', 'cool_off': '14/2/20', 'billing_start': '18/5/20', 'billing_end': nan}
54	70	Invalid end date	{'account_no': 70, 'customer_number': 7975, 'age_group': '35-39', 'state': 'NSW', 'postcode': 2038.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 100, 'sale_date': '27/8/20', 'cool_off': nan, 'billing_start': '1/9/20', 'billing_end': nan}
55	71	Invalid end date	{'account_no': 71, 'customer_number': 270, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3030.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '17/9/20', 'cool_off': '1/10/20', 'billing_start': '12/10/20', 'billing_end': nan}
56	72	Invalid end date	{'account_no': 72, 'customer_number': 5853, 'age_group': '65-69', 'state': 'VIC', 'postcode': 3021.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '14/4/21', 'cool_off': '28/4/21', 'billing_start': '28/4/21', 'billing_end': nan}
57	73	Invalid end date	{'account_no': 73, 'customer_number': 12612, 'age_group': '25-29', 'state': 'SA', 'postcode': 5022.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '12/5/21', 'cool_off': '26/5/21', 'billing_start': '28/5/21', 'billing_end': nan}
58	74	Invalid site type&Invalid start date	{'account_no': 74, 'customer_number': 10585, 'age_group': '35-39', 'state': nan, 'postcode': nan, 'site_type': nan, 'meter_type': 'Pending Id', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '22/6/21', 'cool_off': nan, 'billing_start': nan, 'billing_end': '22/6/21'}
59	75	Invalid start date&Invalid end date	{'account_no': 75, 'customer_number': 17668, 'age_group': '55-59', 'state': 'SA', 'postcode': 5108.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Closed', 'green_power': 0, 'sale_date': '10/12/19', 'cool_off': nan, 'billing_start': nan, 'billing_end': nan}
60	76	Invalid start date	{'account_no': 76, 'customer_number': 585, 'age_group': '60-64', 'state': 'QLD', 'postcode': 4113.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '22/4/21', 'cool_off': '7/5/21', 'billing_start': nan, 'billing_end': '26/4/21'}
61	79	Invalid end date	{'account_no': 79, 'customer_number': 9784, 'age_group': '25-29', 'state': 'VIC', 'postcode': 3000.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '2/3/21', 'cool_off': '17/3/21', 'billing_start': '30/3/21', 'billing_end': nan}
62	80	Invalid end date	{'account_no': 80, 'customer_number': 5319, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3137.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '14/9/20', 'cool_off': '28/9/20', 'billing_start': '5/10/20', 'billing_end': nan}
63	81	Invalid end date	{'account_no': 81, 'customer_number': 6468, 'age_group': '>69', 'state': 'NSW', 'postcode': 2090.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '20/5/21', 'cool_off': '3/6/21', 'billing_start': '4/6/21', 'billing_end': nan}
64	82	Invalid end date	{'account_no': 82, 'customer_number': 15607, 'age_group': '55-59', 'state': 'VIC', 'postcode': 3781.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '11/7/21', 'cool_off': '23/7/21', 'billing_start': '24/7/21', 'billing_end': nan}
65	84	Invalid end date	{'account_no': 84, 'customer_number': 8959, 'age_group': '30-34', 'state': 'VIC', 'postcode': 3146.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '22/7/20', 'cool_off': '6/8/20', 'billing_start': '5/8/20', 'billing_end': nan}
66	85	Invalid end date	{'account_no': 85, 'customer_number': 5290, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3754.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '26/8/21', 'cool_off': nan, 'billing_start': '1/9/21', 'billing_end': nan}
67	86	Invalid end date	{'account_no': 86, 'customer_number': 13257, 'age_group': '60-64', 'state': 'VIC', 'postcode': 3178.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '2/9/21', 'cool_off': '17/9/21', 'billing_start': '19/9/21', 'billing_end': nan}
68	87	Invalid start date	{'account_no': 87, 'customer_number': 5611, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3810.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '17/11/20', 'cool_off': '1/12/20', 'billing_start': nan, 'billing_end': '22/11/20'}
69	88	Invalid end date	{'account_no': 88, 'customer_number': 5454, 'age_group': '60-64', 'state': 'ACT', 'postcode': 2614.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '6/9/20', 'cool_off': '18/9/20', 'billing_start': '29/10/20', 'billing_end': nan}
70	89	Invalid end date	{'account_no': 89, 'customer_number': 17324, 'age_group': '<25', 'state': 'NSW', 'postcode': 2830.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '9/12/20', 'cool_off': '23/12/20', 'billing_start': '26/12/20', 'billing_end': nan}
71	90	Invalid end date	{'account_no': 90, 'customer_number': 5804, 'age_group': '45-49', 'state': 'VIC', 'postcode': 3227.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '23/11/20', 'cool_off': '8/12/20', 'billing_start': '8/12/20', 'billing_end': nan}
72	91	Invalid end date	{'account_no': 91, 'customer_number': 14307, 'age_group': '45-49', 'state': 'VIC', 'postcode': 3427.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '23/6/20', 'cool_off': '7/7/20', 'billing_start': '7/7/20', 'billing_end': nan}
73	92	Invalid start date	{'account_no': 92, 'customer_number': 219, 'age_group': '>69', 'state': 'SA', 'postcode': 5067.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Basic', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '4/10/20', 'cool_off': '19/10/20', 'billing_start': nan, 'billing_end': '16/10/20'}
74	94	Invalid end date	{'account_no': 94, 'customer_number': 1321, 'age_group': '50-54', 'state': 'VIC', 'postcode': 3029.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '3/3/21', 'cool_off': '18/3/21', 'billing_start': '18/3/21', 'billing_end': nan}
75	96	Invalid end date	{'account_no': 96, 'customer_number': 10809, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3012.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/6/20', 'cool_off': '30/6/20', 'billing_start': '30/6/20', 'billing_end': nan}
76	97	Invalid start date	{'account_no': 97, 'customer_number': 10582, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3012.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Cancelled', 'green_power': 0, 'sale_date': '11/10/21', 'cool_off': '26/10/21', 'billing_start': nan, 'billing_end': '12/10/21'}
77	100	Invalid end date	{'account_no': 100, 'customer_number': 1805, 'age_group': '40-44', 'state': 'VIC', 'postcode': 3192.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '5/11/20', 'cool_off': '20/11/20', 'billing_start': '19/11/20', 'billing_end': nan}
78	101	Invalid end date	{'account_no': 101, 'customer_number': 13864, 'age_group': '>69', 'state': 'VIC', 'postcode': 3146.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '1/4/21', 'cool_off': nan, 'billing_start': '19/4/21', 'billing_end': nan}
79	103	Invalid end date	{'account_no': 103, 'customer_number': 8903, 'age_group': '35-39', 'state': 'VIC', 'postcode': 3067.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '7/6/21', 'cool_off': '22/6/21', 'billing_start': '30/6/21', 'billing_end': nan}
80	104	Invalid end date	{'account_no': 104, 'customer_number': 4687, 'age_group': '55-59', 'state': 'VIC', 'postcode': 3008.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '29/6/20', 'cool_off': '14/7/20', 'billing_start': '14/7/20', 'billing_end': nan}
81	105	Invalid end date	{'account_no': 105, 'customer_number': 6499, 'age_group': '45-49', 'state': 'NSW', 'postcode': 2017.0, 'site_type': 'RESIDENTIAL', 'meter_type': 'Smart', 'billing_status': 'Billing', 'green_power': 0, 'sale_date': '16/6/21', 'cool_off': '30/6/21', 'billing_start': '1/7/21', 'billing_end': nan}
